AverageAction,PolicyRegParamNorm,StdReturn,steps,AverageAbsQYDiff,AverageReturn,AverageAbsY,AverageAbsQ,AveragePolicySurr,AverageQ,MinReturn,AverageQLoss,AverageY,AverageDiscountedReturn,MaxReturn,QFunRegParamNorm
0.300770618684,19.8720014585,45.5835564094,4500,1.57630073971,-107.260695785,7.61255871318,7.25883439914,3.71784086125,-5.76183976706,-222.339259608,16.8365788628,-5.78908229144,-27.2710539088,-30.7857123536,42.8963616495
0.400015471848,20.1663316076,19.781538287,4800,1.45752552692,-82.2384089123,7.28861722199,6.98461343145,3.21679420466,-5.1026827361,-116.429054884,13.9111784519,-5.09710386456,-18.5294375319,-51.4427514498,43.3296248312
0.402076142513,20.3773033256,19.7819756772,5100,1.53155465445,-83.7700062538,7.45785617528,7.12758661436,3.20166748518,-5.08664258097,-115.458853854,14.5144633952,-5.12795815182,-19.14857497,-48.5129917809,44.1842763886
0.454011502796,20.6177456829,16.155025498,5400,1.58198566516,-59.9632663926,7.84738287507,7.56205953668,3.2224395077,-5.08514337594,-100.234396962,11.584694311,-5.06702125543,-9.79263110317,-34.5107861519,45.3170848218
0.420710774062,20.7498627993,131.317957839,5700,1.60653155222,-121.517449973,7.80297870801,7.52361697699,3.05453732004,-4.65142056505,-674.200594873,14.4305858056,-4.65380678119,-26.6356654818,-47.8830972456,45.9252596077
0.415340107276,20.9833690836,50.0086207802,6000,1.56975655197,-190.069106411,7.93178804783,7.64227788309,2.71364426233,-4.38184699532,-250.073297419,11.7224274316,-4.38925943867,-21.7667915648,-65.7771346476,46.8565775446
0.365847807537,21.1762709663,50.7028878802,6300,1.58831027047,-132.419238052,8.08206791384,7.84124212824,2.81500355925,-4.30837281314,-215.968070226,12.5941140195,-4.30669437416,-5.78605972261,-50.8556643862,47.617459215
0.415624924327,21.287878824,54.1089765158,6600,1.5114454864,-167.669060672,8.00817416727,7.78511823441,2.36478352459,-3.89355347593,-251.691303954,10.4555488773,-3.91625435197,-15.9384433935,-65.3098519181,48.069720785
0.482173023561,21.3872131249,21.4055886571,6900,1.52673456922,-51.3898624786,8.44313537188,8.26090659688,2.63690294419,-4.07572969662,-86.3811082492,9.07289079712,-4.07025142332,-2.4892145319,-9.2054583901,48.8339360329
0.453303802234,21.4971045303,46.3588364119,7200,1.55968017715,-119.858878869,8.1354035385,7.96610132223,2.09132116938,-3.51257128578,-217.330791384,10.0654282163,-3.52698839244,-21.3468698562,-70.3999662332,49.8264666903
0.531409088629,21.5601800031,19.0050922978,7500,1.63440417704,-67.3781794362,8.32606332559,8.11252309703,2.18876191306,-3.45316767515,-108.862531957,15.3920756529,-3.4377761481,-3.91807528349,-29.5214537867,50.4921162231
0.496925408325,21.7433676476,47.734224165,7800,1.47915834614,-65.1745162159,8.0879873154,7.92885603201,1.67478679102,-2.93327510775,-205.941942482,7.78272516858,-2.95105152946,1.25200850859,6.54264197684,51.1224430083
0.573105760877,21.9152653204,20.3433952007,8100,1.65327016777,-31.5532202251,8.38135279781,8.15874818334,1.69313581409,-2.97222066962,-80.3798454712,16.6989687977,-2.95234044176,4.8710876723,5.97651637683,51.9804637993
