MinReturn,Steps,StdReturn,MaxReturn,Epoch,AverageReturn
-339.404528372,234000,82.0627402527,-39.8090884542,195,-140.426759162
-252.985612486,235200,86.6204145986,10.4231935815,196,-104.801002561
-246.302255159,236400,85.6137658825,34.6388927963,197,-91.0350449952
-227.211575033,237600,77.6692977951,12.3729141916,198,-88.1470373742
-298.127006291,238800,70.6255920109,-31.9708023382,199,-109.207537603
-285.480876026,240000,90.4042065812,52.0177711914,200,-89.1255925199
-260.118991279,241200,66.0582487552,3.26300414229,201,-82.4361947568
-199.163159321,242400,63.6258624181,5.52588084806,202,-65.8601594597
-375.022527497,243600,99.823396147,-59.2693916393,203,-185.776193818
-378.058264321,244800,108.201036467,-11.5057831187,204,-139.444752627
-308.010422558,246000,80.6343723977,-32.9228845284,205,-123.475498422
-366.98760043,247200,100.863172257,-18.1751160782,206,-149.280656933
-337.349121998,248400,124.874302429,113.575855474,207,-90.5944562104
-359.054869232,249600,103.586894168,8.39245304277,208,-173.080695712
-345.26877618,250800,69.0183185596,-100.0,209,-194.913047363
-325.501682737,252000,78.7446532007,-40.2086320885,210,-151.866358757
-350.874534777,253200,98.3075603042,-10.1336199099,211,-145.832156756
-307.564486982,254400,78.3065699882,-28.1276986223,212,-147.783278594
-347.57348745,255600,94.1497240208,-64.644563069,213,-166.216044252
-298.649848103,256800,89.9655071129,-27.2546589338,214,-146.181693589
-366.524392183,258000,90.7467051374,-28.6780840006,215,-132.274518629
-255.048076254,259200,64.2923767266,-41.231655101,216,-105.77695678
-281.872291185,260400,58.8504854317,-57.4962060236,217,-111.551144196
-285.360828262,261600,64.0962884045,-47.6929159045,218,-114.360179245
-284.131003415,262800,61.3830703791,-35.3346149021,219,-120.255071811
-287.179528177,264000,68.2555506031,-2.50520475442,220,-98.3203402613
-247.39437929,265200,72.2477476105,32.6355830411,221,-72.2230500592
-274.810030451,266400,59.2894207743,-40.5530524334,222,-112.346413567
-227.508881385,267600,71.0827186948,12.7390161301,223,-69.5367955668
-274.142146745,268800,71.9316583714,9.88436515172,224,-103.706225496
-220.639799954,270000,53.2989795518,-40.2529476248,225,-98.8855496337
-200.636258114,271200,49.7086846088,-1.60442608108,226,-69.1180547388
-204.058650502,272400,102.041195729,111.515591301,227,-20.5393176742
-250.819720204,273600,79.47188832,47.9600948988,228,-83.3263169601
-265.490982666,274800,74.9929373352,2.70098760767,229,-86.7733314916
-246.735335006,276000,63.5152627129,-3.83708448808,230,-83.4849741417
-292.720454627,277200,84.7657884788,57.4352142274,231,-85.0812414675
-223.397966019,278400,68.4778349069,25.0150934048,232,-75.1787826184
-276.296705785,279600,65.7879606337,11.2843982477,233,-88.3101367493
-257.660438592,280800,54.8319304338,-27.57351282,234,-99.18970043
-238.270429544,282000,72.4176531349,8.71996385362,235,-73.096149013
-305.814212284,283200,81.608300013,-26.2251749928,236,-109.658535455
-167.432393012,284400,56.5308513511,16.0258891506,237,-71.4059352528
-295.076778018,285600,84.9594208194,1.21576936572,238,-99.151638236
-266.193584838,286800,70.9765009075,18.5302911602,239,-104.899261368
-244.448161595,288000,66.9851273789,3.76412069678,240,-86.4254916732
-344.151062304,289200,85.5192603607,17.7668200351,241,-95.3457240356
-379.316012195,290400,111.619410804,31.5763982543,242,-114.141707598
-354.659563697,291600,105.868143127,23.6283307403,243,-106.165934165
-236.548887905,292800,67.3643499145,6.38599987727,244,-99.5690177031
-272.645645073,294000,95.093336657,19.2772765066,245,-103.318238812
-329.50426777,295200,89.6270590761,-30.2768886664,246,-133.797664817
-352.37959327,296400,104.593659754,-57.9292217881,247,-182.73359729
-389.344222246,297600,102.587294492,-71.7067345387,248,-180.042113252
-404.165889625,298800,113.350965049,-86.7077762916,249,-229.31800024
-371.78116942,300000,101.381180328,-83.7562222698,250,-195.39934262
-388.458289109,301200,112.817067646,-70.4596346301,251,-185.186982842
-372.397006209,302400,90.7253413493,-81.3311098767,252,-194.82956007
-384.576078876,303600,115.186084794,10.4785494466,253,-165.417942559
-412.183550571,304800,116.493385368,-58.1603799921,254,-201.802669218
-365.11296457,306000,82.0535767446,-38.4182433122,255,-139.430122114
-375.77065172,307200,112.138035104,-46.0746010713,256,-187.418973104
-378.347871939,308400,118.410306896,-15.2760210779,257,-174.326628662
-361.077289502,309600,105.356488531,-26.3792787166,258,-181.245994355
-286.255959444,310800,63.2950693749,-39.8620161575,259,-126.181373667
-349.527863755,312000,122.171715511,15.0371200993,260,-159.404923898
-259.136293097,313200,65.6238921524,-6.0956106014,261,-109.826075412
-365.328614176,314400,101.944981081,-37.4457997586,262,-155.102185441
-282.818429393,315600,78.991937174,-28.4190847036,263,-139.864582371
-241.824038281,316800,54.2322141339,-14.2826115036,264,-109.937094269
-348.409966269,318000,82.6404468446,-54.5437288019,265,-146.117350218
-368.297780207,319200,114.615105453,48.6349586632,266,-135.711910097
-392.104337922,320400,104.995427546,-42.7406305099,267,-221.662113995
-338.229461687,321600,92.509842738,-32.2337275922,268,-174.537183401
-343.083333098,322800,86.8505756185,-1.99291597534,269,-177.905831136
-389.443916675,324000,100.760846478,-80.5978253329,270,-242.670855074
-308.292730579,325200,98.7109017911,-15.4946169107,271,-170.165514041
-362.582728126,326400,96.4745303843,-41.2860224952,272,-225.904046388
-318.129313203,327600,73.4406759018,-64.025075653,273,-164.583592083
-369.001850699,328800,104.031217737,16.2429279305,274,-168.649023742
-331.737408436,330000,80.2648635921,-27.4346545387,275,-161.872214951
-369.214268243,331200,110.559177458,21.5777997713,276,-144.711090596
-269.897672286,332400,92.1901787913,17.2940851083,277,-121.846488099
-342.062888038,333600,82.3877698288,-44.4454042929,278,-152.474157931
-295.403369353,334800,93.7162158659,43.4815239804,279,-139.832466187
-233.205888669,336000,55.8583193415,-3.7566659389,280,-97.4064952465
-285.30136555,337200,106.413002872,53.9084321949,281,-99.7995428706
-362.332246711,338400,79.733737916,-10.0319023074,282,-192.383677974
-309.680545687,339600,70.0738583129,-10.7069952982,283,-163.08253029
-283.400886706,340800,94.4681746807,62.7836844013,284,-122.406640682
-355.606431586,342000,83.5175560111,-31.2870897313,285,-198.800507531
-270.465571251,343200,101.643938857,75.5913021732,286,-128.350956551
-385.943088547,344400,68.3513001912,-95.316444642,287,-204.424145614
-280.653300274,345600,112.435788049,99.3647356405,288,-126.132948321
-378.760611595,346800,73.4547217336,-97.1828837811,289,-216.211849587
-330.937337646,348000,58.9186154694,-94.8927664437,290,-201.617030795
-387.9136628,349200,117.957934339,40.3146532144,291,-168.435962305
-368.017298343,350400,69.9510999176,-93.926675959,292,-211.430536572
-300.912533776,351600,74.9873488004,-14.3076897595,293,-175.817622948
-375.385047509,352800,123.024473009,66.8553275609,294,-184.725977917
-477.133129342,354000,90.3667823821,-81.9547843039,295,-221.830750446
-339.093630989,355200,76.9041618672,-55.7376337132,296,-178.97050678
-345.790249323,356400,80.8587939443,-32.7264891767,297,-204.556837678
-350.23786839,357600,82.4169311621,-11.4937037087,298,-186.630174784
-423.428632613,358800,73.2103401615,-87.2877543928,299,-199.673861888
-363.645141947,360000,100.004807599,76.4775864322,300,-166.119721954
-269.361179148,361200,79.2614130635,2.33552716298,301,-135.662610109
-423.732071833,362400,86.1753140699,-66.7365644372,302,-188.483651608
-246.819914469,363600,56.1578741379,-23.2093553483,303,-129.875028776
-267.714299907,364800,47.6183967072,-82.9337211077,304,-154.017885574
-258.960983499,366000,73.0264234928,11.492424098,305,-123.3469074
-252.279976334,367200,67.6819891383,-11.2166773758,306,-108.462757807
-230.434369886,368400,90.4242971455,71.4517804876,307,-72.747811999
-357.988502689,369600,108.708396657,56.001969472,308,-112.914389082
-234.224481149,370800,83.0360735286,65.5818438239,309,-79.3622245898
-236.309606532,372000,69.7096663884,28.5879367344,310,-73.2729867272
