Epoch,MinReturn,AverageReturn,MaxReturn,Steps,StdReturn
205,-234.095226053,-171.157351643,-80.9812259245,246000,65.408541795
206,-359.443875488,-290.529797726,-249.004941118,247200,49.0701309883
207,-347.420320982,-254.452348186,-190.001133826,248400,67.3552980095
208,-257.703769932,-247.208498222,-229.055164003,249600,12.8884986571
209,-396.000778177,-263.887010457,-132.684511304,250800,107.500347
210,-255.888629815,-232.850125756,-187.189126502,252000,32.2876488818
211,-260.600738519,-251.150595599,-232.618738005,253200,13.1048653626
212,-459.290962082,-333.952247506,-258.054186421,254400,89.2836066805
213,-331.144144786,-278.175064802,-227.163853784,255600,42.4723452568
214,-299.253660104,-256.000639984,-219.850829669,256800,32.8028866862
215,-230.848715426,-218.676044151,-204.630307775,258000,10.7852524183
216,-279.835778884,-198.50469841,-65.7825521714,259200,94.6413482463
217,-275.903984672,-264.710835132,-254.219777218,260400,8.86645035005
218,-261.013711274,-238.989385276,-201.87498118,261600,26.3960879934
219,-452.944631989,-323.843502261,-248.559516257,262800,91.7079880275
220,-260.10110735,-235.355454906,-207.093670863,264000,21.7825536732
221,-340.083855695,-271.549685764,-205.140505454,265200,55.1108799254
222,-362.356940551,-330.398279421,-297.307822339,266400,26.5682475474
223,-383.735189122,-340.780698297,-300.727466079,267600,33.9498011515
224,-462.695746643,-395.300455014,-313.93460262,268800,61.5296780358
225,-330.198771115,-307.322892114,-268.162214164,270000,27.8212102203
226,-453.287024409,-298.249938128,-180.274457932,271200,114.49639688
227,-393.139792546,-334.593114001,-267.198070862,272400,51.7947840498
228,-343.401789731,-309.437359788,-270.283014532,273600,30.0753524483
229,-372.502092319,-285.218229195,-189.687624727,274800,74.8611556921
230,-348.008867285,-259.644371881,-214.105265582,276000,62.4929548096
231,-293.992674305,-263.974348953,-212.113422744,277200,36.8227951885
232,-293.083847076,-267.145623644,-237.241571469,278400,22.969338758
233,-429.171620064,-323.728083081,-269.027558147,279600,74.5773428313
234,-227.942791594,-186.829919323,-152.625525239,280800,31.1337753994
235,-269.053688749,-188.627775881,-63.7711497228,282000,89.5015695202
236,-158.834334853,-77.6238690422,-24.8793380565,283200,58.2735925089
237,-295.867134796,-253.605082838,-185.627178363,284400,48.5399546871
238,-353.674366313,-279.544733523,-235.986920979,285600,52.6849810488
239,-334.07228632,-236.50389655,-177.331726372,286800,69.5106852335
240,-334.641028749,-226.045731353,-111.20351522,288000,91.3248728747
241,-274.83187936,-242.495516761,-207.138243648,289200,27.7182431407
242,-258.445475011,-240.31671407,-226.036349655,290400,13.5079104838
243,-191.493290969,-181.258124621,-165.084869208,291600,11.56998592
244,-222.70086205,-192.551428957,-167.195311153,292800,22.9121285013
245,-220.922844457,-188.986582819,-165.692051345,294000,23.3612178922
246,-417.95657014,-277.185084418,-194.514485518,295200,100.044577005
247,-255.1339149,-226.244655851,-178.134797443,296400,34.247039795
248,-292.908978507,-172.284424618,-49.9058981441,297600,99.2133444697
249,-191.928852636,-178.241804101,-156.721321315,298800,15.4037784227
250,-350.612029629,-223.529454164,-49.5997527897,300000,127.274212121
251,-211.53619069,-180.915721846,-165.418121293,301200,21.6524816163
252,-237.606694021,-159.781779448,-114.374789139,302400,55.2854227647
253,-383.34981363,-236.270352109,-120.289024629,303600,109.622276122
254,-248.620297464,-190.545806288,-93.5232148459,304800,69.0482543585
255,-266.042561463,-215.25017616,-186.745457694,306000,36.0052101443
256,-245.208488942,-230.362297537,-204.209018736,307200,18.5495158667
257,-385.036243061,-273.798300358,-196.902457162,308400,80.5527371685
258,-251.447324171,-237.111959678,-211.337491657,309600,18.2636156193
259,-294.509089011,-238.249280325,-165.17692442,310800,54.1214591292
260,-289.940034105,-266.69093939,-221.835111342,312000,31.7249462326
