MinReturn,MaxReturn,ExplainedVariance,LossAfter,LossBefore,Iteration,StdReturn,Entropy,AverageDiscountedReturn,AverageReturn,AveragePolicyStd,Perplexity,MeanKL,MaxKL,NumTrajs
-7.63183582607,-7.63183582607,3.72988318009e-09,-0.170696179853457,-0.1683871172879686,71,0.0,1.08271303435,-5.10547440434,-7.63183582607,0.714461977292,2.95267941488,0.00036651596111041406,0.00043149823091304107,1
-9.37820208849,-9.37820208849,2.70811084668e-09,0.08753575072243526,0.08892270223631864,72,0.0,1.07462052444,-5.82324726203,-9.37820208849,0.708703518278,2.92888125076,0.0002824691588570233,0.0004131954176619379,1
-8.92430943799,-8.92430943799,3.79214837309e-09,0.05706341929834514,0.0572128231080864,73,0.0,1.06841364635,-5.34660284969,-8.92430943799,0.704318305259,2.91075834343,7.191114260074071e-05,8.96006929819726e-05,1
-6.40510122672,-6.40510122672,7.31226723616e-09,-0.12843300994856102,-0.12468437822127858,74,0.0,1.06349701564,-4.31267241465,-6.40510122672,0.700863931152,2.89648234325,0.0003886888306389602,0.0004311927069972077,1
-6.88694750681,-6.88694750681,8.57642268315e-09,0.0431129072713024,0.042693732368661995,75,0.0,1.05761940292,-4.27645220982,-6.88694750681,0.696756606847,2.87950787531,0.0002352492207603185,0.0002556418683057893,1
-6.93644901316,-6.93644901316,7.53903439676e-09,-0.004260582643204938,-0.0035180166225667353,76,0.0,1.05281590745,-4.27854233981,-6.93644901316,0.693417765118,2.86570933941,7.670170502693585e-05,0.00010320748858555495,1
-6.26383338903,-6.26383338903,7.34890748255e-09,0.04833018336510803,0.0485247700091886,77,0.0,1.04842094393,-3.83897045259,-6.26383338903,0.690376906463,2.8531422875,5.775320821870267e-05,7.260821528159989e-05,1
-6.3772633632,-6.3772633632,7.69313635018e-09,-0.017283838518958306,-0.015887121550528325,78,0.0,1.04503787615,-3.96498448233,-6.3772633632,0.688045260879,2.84350622269,0.0001233372019917356,0.00016352477272169041,1
-5.02920940129,-5.02920940129,8.82459672003e-09,-0.0024787002336067896,0.004133654146430841,79,0.0,1.04177944005,-3.31270226766,-5.02920940129,0.685806958023,2.8342559183,0.0010356349042671253,0.0014451088695914827,1
-7.08152080993,-7.08152080993,6.87225576446e-09,-0.1574881312635425,-0.1319107800290723,80,0.0,1.03887859948,-4.89429806598,-7.08152080993,0.683820424081,2.82604610719,0.006768989208958231,0.008179254709055839,1
-5.96235963971,-5.96235963971,7.29951998846e-09,0.08657860010554731,0.0968398859213278,81,0.0,1.03468803653,-3.56759634431,-5.96235963971,0.680960827394,2.8142281623,0.008001999270321311,0.008982526048239181,1
-6.1347112009,-6.1347112009,5.44089018284e-09,-0.23279170699399465,-0.2292725742943635,82,0.0,1.03210263667,-4.23991086858,-6.1347112009,0.679202545271,2.80696165464,0.0059143128395678455,0.007503144540356277,1
-4.72421063397,-4.72421063397,1.20260745806e-08,-0.11339791262795547,-0.08603244412156048,83,0.0,1.02719389228,-3.172264403,-4.72421063397,0.675876683172,2.79321676006,0.010002270226491534,0.01224460911647679,1
-4.63322793908,-4.63322793908,1.35233219067e-08,-0.1813388158410447,-0.18496365273192913,84,0.0,1.02177267543,-3.1940692854,-4.63322793908,0.672222523051,2.77811509796,0.004935187968689473,0.005381618983800962,1
-5.3319007988,-5.3319007988,8.72659122741e-09,-0.030587144830375577,-0.02218299853987062,85,0.0,1.01488858332,-3.34250861898,-5.3319007988,0.667610773354,2.75905597539,0.005068166910635829,0.0058975798911513055,1
-6.00392247369,-6.00392247369,8.40638303412e-09,-0.10279855108232454,-0.10520090797176118,86,0.0,1.0084029054,-3.97015890824,-6.00392247369,0.663294875789,2.7412195302,0.00023632504623183781,0.0004101571254080949,1
-4.81038814841,-4.81038814841,9.59743662321e-09,-0.0856232171863574,-0.08333096731522238,87,0.0,1.00137768475,-3.11054627133,-4.81038814841,0.658651412705,2.72202934472,0.00014157605934720264,0.00028161705868129383,1
-3.90834107401,-3.90834107401,1.95648640622e-08,0.020517569591956848,0.021511720184039858,88,0.0,0.994097346145,-2.37195161555,-3.90834107401,0.653873620477,2.70228401298,0.0001297387059583599,0.00024595354409312487,1
-4.51089187468,-4.51089187468,1.34379629646e-08,-0.06336409946543321,-0.058058559691618036,89,0.0,0.987756401157,-2.85272487653,-4.51089187468,0.649740561418,2.68520319022,0.000745192695286408,0.0008350623194144369,1
-4.05318206416,-4.05318206416,1.60655803105e-08,-0.08878233856275454,-0.08724725610643562,90,0.0,0.981360451598,-2.69425296119,-4.05318206416,0.645598115122,2.66808357253,5.5758668875577345e-05,7.480618597766053e-05,1
-4.09090160993,-4.09090160993,1.71316184572e-08,0.005988342776862709,0.00985612479787076,91,0.0,0.974596823075,-2.54224291701,-4.09090160993,0.641246263041,2.65009853699,0.00044908426881132724,0.0008175577776000642,1
-3.65357991734,-3.65357991734,1.71661723725e-08,-0.03560967943150159,-0.03479910047786053,92,0.0,0.968589643072,-2.24253849951,-3.65357991734,0.637405728254,2.63422663845,4.6550722730838155e-05,8.011323598827724e-05,1
-3.99208214064,-3.99208214064,1.67155381758e-08,-0.1384026872495994,-0.13645658228462867,93,0.0,0.962751410167,-2.69457167359,-3.99208214064,0.633695247024,2.61889221633,5.1377792898529284e-05,6.443796185229278e-05,1
-2.83028252636,-2.83028252636,3.98676713864e-08,0.010590341684816144,0.011169712289207871,94,0.0,0.955962196956,-1.760859859,-2.83028252636,0.629407526475,2.60117221918,9.99616927584529e-05,0.00012275165276409705,1
-3.80345587094,-3.80345587094,1.57035043857e-08,-0.12881030748977523,-0.12672533187188978,95,0.0,0.949948506555,-2.53261349868,-3.80345587094,0.62563382279,2.58557651565,0.00015425445209859168,0.00021244177073165282,1
-3.59346263825,-3.59346263825,1.70663775334e-08,-0.012953089293111463,-0.012534574370079708,96,0.0,0.943105329025,-2.20984823234,-3.59346263825,0.621367115042,2.56794335875,0.00017925268919047942,0.00023999452293793633,1
-3.39703677697,-3.39703677697,2.53380321169e-08,-0.025877040984160677,-0.0209724585234945,97,0.0,0.936767934538,-2.15503911281,-3.39703677697,0.617441718045,2.55172074751,0.0008323184699519298,0.0010019314564169157,1
